id,douban_id,name,director,screenwriter,tag,region,language,release_time,film_length,star,collections,rating_num,five_star,four_star,three_star,two_star,one_star,intro
1,30352998,第12届中国金鹰电视艺术节颁奖典礼,何炅,迪丽热巴,真人秀,中国大陆,汉语普通话,2018-10-12(中国大陆),157分钟,,38154,2.1,0.005,0.0,0.001,0.006,0.989,第12届中国金鹰电视艺术节将于2018年10月12日至14日在湖南长沙举行。
2,26661191,奇门遁甲,袁和平,徐克,动作,中国大陆 / 香港,汉语普通话,2017-12-14(中国大陆),113分钟,大鹏_倪妮_李治廷_周冬雨_伍佰_柳岩_许明虎_杨一威_谢苗_孙明明_黄晓明,91443,4.4,0.019,0.058,0.279,0.388,0.257,新上任的捕快刀宜长（李治廷 饰）奉旨判案，误打误撞救下了精通“奇门遁甲”之术的江湖组织“雾隐门”女弟子铁蜻蜓（倪妮 饰）。铁蜻蜓受门派老大（伍佰 饰）之托，调查神秘的天外来物踪迹，当众人惨败之际，二师兄诸葛青云（大鹏 饰）却带着神秘少女小圆圈（周冬雨 饰）归来，并称此人是新任掌门，铁蜻蜓与诸葛青云陷入芥蒂，另一边老大与其它几大门派长老也因为抢夺神器而开始厮杀。因为“天外来客”的降临，各大门派对雾隐门进行了追杀，因为小圆圈身世不明，门派内也争执不断，眼看大敌当前，正邪之战即将爆发，一场天地浩劫即将来临……
3,26654146,解忧杂货店,韩杰,宋啸,剧情,中国大陆,汉语普通话,2017-12-29(中国大陆),109分钟,王俊凯_迪丽热巴_董子健_李鸿其_董李无忧_成龙_秦昊_陈都灵_郝蕾_李梦_成泰燊_高华阳_潘斌龙_孟慧圆_孙小野,91360,5.0,0.039,0.106,0.354,0.324,0.177,改编自东野圭吾原著同名小说《解忧杂货店》，讲述了在一家僻静街道旁的杂货店，只要写下烦恼投进店前门卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。某个夜晚，三个身在迷途的年轻人阿杰、小波、彤彤无意闯入，没想到开启了时光隧道，从收到来自过去的第一封咨询信开始，在不断的回信和收信过程中，过去链接了未来，犹豫是否该坚持音乐梦想的秦朗、是否该和家人因逃债远走他乡的浩博、是否应该放弃舞女工作的晴美都从他们的回信建议做出了选择，找到了心灵的方向，不经意间也串联了所有人的人生。同时这三个年轻人也收到了对于自己困惑的解答。
4,27603669,为你写诗,吴克群,吴克群,喜剧,中国大陆,汉语普通话,2018-10-26(中国大陆),105分钟,吴克群_周依然_周键铭_苏士为_仇佩佩_刘晨霞_颜如晶_张本煜_潘粤明_林美秀,2312,3.9,0.028,0.06,0.18,0.29,0.442,你的一生中有过一个让自己心跳加速的人吗？
5,26691361,21克拉,何念,马天,喜剧,中国大陆,汉语普通话,2018-04-20(中国大陆),96分钟,郭京飞_迪丽热巴_大鹏_包贝尔_刘芮麟_王厂长_张钟仪_榕榕_张杨智子,37807,4.6,0.037,0.07,0.301,0.343,0.249,刘佳音（迪丽热巴 饰）因与富豪男友分手而破产 ，为了还债，变卖了自己所有的奢侈品。王继伟（郭京飞 饰）天生爱省，为了省钱无所不用其极。两人因为一场剧场意外相遇，在一系列机缘巧合合租一个屋檐之下，过起了荒诞爆笑的流浪生活，“王抠抠”和“刘买买”究竟如何在两种价值观之间化解 金钱与爱情的终极问题呢？
6,26644002,傲娇与偏见,李海蜀,黄彦威,喜剧,中国大陆,汉语普通话,2017-04-20(中国大陆),108分钟,迪丽热巴_张云龙_高伟光_金晨_马薇薇_范湉湉_披拉·尼迪裴善官_周海媚_樊野_李彧,40332,4.8,0.042,0.096,0.338,0.293,0.231,北漂网络写手唐楠楠（迪丽热巴 饰）脑洞大于常人，整日穿行在各种“白日梦”之中，梦想着有一天能成为网文大神，然而在她误打误撞毁掉了贱萌海龟男朱侯（张云龙 饰）为追求女神精心布置的告白仪式之后，这对冤家阴差阳错之下被迫带着各自的傲娇与偏见开始了同居生活。朱侯的高富帅好基友萧见君（高伟光 饰）因对唐楠楠一见钟情展开猛烈攻势，却不料遭到朱侯再三阻挠。当“傲娇”任性撞上“偏见”无理，一场鸡飞狗跳的脱线恋情正在袭来，一次跨越银河系的世纪大和解即将上演。
7,27110363,名侦探柯南：零的执行人 名探偵コナン ゼロの執行人,立川让,樱井武晴,动画,日本,日语,2018-11-09(中国大陆)_2018-04-13(日本),110分钟,高山南_山口胜平_山崎和佳奈_小山力也_绪方贤一_林原惠美_古谷彻_置鲇龙太郎,59490,5.8,0.054,0.14,0.491,0.262,0.052,一场大规模的恐怖袭击，一个牵扯无数内幕的神秘组织，这个关乎整个东京的可怕计划即将拉开帷幕…首脑云集的东京峰会举办在即，会场突然发生超大规模的爆炸事件，不仅在现场发现行踪诡异的安室透，毛利小五郎更是惨遭陷害。面对最危险任务，最烧脑的推理，最艰难的博弈，柯南能否在迷雾中寻找到唯一的真相。
8,27008394,功夫联盟,刘镇伟,刘镇伟,剧情,中国大陆,汉语普通话,2018-10-26(中国大陆),102分钟,赵文卓_安志杰_陈国坤_杜宇航_书亚信_麦迪娜_张子文_何云伟_飞儿,4047,3.2,0.016,0.03,0.102,0.256,0.596,年轻漫画家费英雄，受到老板张鹏的打压，郁郁不得志。而他与张鹏却同时暗恋着公司女同事保儿。
9,27102569,悲伤逆流成河,落落,落落,剧情,中国大陆,汉语普通话,2018-09-21(中国大陆),104分钟,,111195,5.8,0.071,0.196,0.407,0.235,0.092,多组校园欺凌事件，打破了5位主角本应该美好的青春校园生活。齐铭（赵英博 饰）清俊帅气，是人人称颂的优等生，而易遥（任敏 饰）却是大家口中的“赔钱货”。两人一同长大，感情很好。而这一切，在转学生唐小米（朱丹妮 饰）出现之后发生了翻天覆地的变化。流言成了毁人利器，处处对易瑶进行刁难，易遥的生活开始陷入黑暗，遭受各类残酷欺凌。顾森西（辛云来 饰）教会易瑶对校园暴力进行反击，他的出现给了易遥一丝曙光。可阴差阳错，顾森湘（章若楠 饰）的意外却将她再度推入黑暗。当受害者变成施暴者，当看客变成助推，在这一场名为“玩笑”的闹剧中，没有旁观者，只有施暴者……
10,24852545,爱情公寓,韦正,汪远,喜剧,中国大陆,汉语普通话,2018-08-10(中国大陆),117分钟,陈赫_袁弘_娄艺潇_邓家佳_孙艺洲_李佳航_李金铭_刘天佐_赵志伟_张双利_南派三叔_韦正_汪远_朱桢_于立_榕榕_罗姝涵_许和琪_刘雨昕_张希雅_孔雪儿_关凯元_张悠然_三名制-5_丧钟大师_老驴_张天馨_刘宇馨_陈旭明_王思博_赵子豪_杨朕_郝宇_徐梦洁_常钰_韩丹_严丰_郭林钧,191261,3.1,0.034,0.026,0.093,0.131,0.716,《爱情公寓》电影版归来，原班人马十年催泪重聚。曾小贤、胡一菲、吕子乔、张伟、唐悠悠、陈美嘉悉数回归，还是熟悉的场景和熟悉的人，嘻嘻哈哈、打打闹闹，笑声从没停过。老朋友的故事将继续展开，印证了电视剧的那句主题语——“最好的朋友在身边，最爱的人就在对面”。不过这一次，他们打算搞个大事情……
