id,douban_id,name,director,screenwriter,tag,region,language,release_time,film_length,star,collections,rating_num,five_star,four_star,three_star,two_star,one_star,intro
1,27605698,西虹市首富,闫非,彭大魔,喜剧,中国大陆,汉语普通话,2018-07-27(中国大陆),118分钟,沈腾_宋芸桦_张一鸣_张晨光_常远_魏翔_赵自强_九孔_李立群_王成思_徐冬冬_艾伦_杨皓宇_黄才伦_王力宏_包贝尔_郎咸平_张绍刚_杨文哲_陶亮_王赞_黄杨_刘鉴_杨沅翰_林炳宝_骆佳_陈昊明_臧一人,520018,6.6,0.098,0.293,0.437,0.132,0.041,西虹市丙级球队大翔队的守门员王多鱼（沈腾 饰）因比赛失利被教练开除，一筹莫展之际王多鱼突然收到神秘人士金老板（张晨光 饰）的邀请，被告知自己竟然是保险大亨王老太爷（李立群 饰）的唯一继承人，遗产高达百亿！但是王老太爷给出了一个非常奇葩的条件，那就是要求王多鱼在一个月内花光十亿，还不能告诉身边人，否则失去继承权。王多鱼毫不犹豫签下了“军令状”，与好友庄强（张一鸣 饰）以及财务夏竹（宋芸桦 饰）一起开启了“挥金之旅”，即将成为西虹市首富的王多鱼，第一次感受到了做富人的快乐，同时也发现想要挥金如土实在没有那么简单！
2,25300674,冰封侠：时空行者,叶伟民,文隽,动作,中国大陆 / 香港,汉语普通话 / 粤语,2018-11-02(中国大陆),87分钟,甄子丹_黄圣依_王宝强_任达华_喻亢_江疏影_仓田保昭_鲍起静_林雪_庄思敏_胡明_吴俊余_王文绮,6235,2.6,0.014,0.006,0.035,0.168,0.777,明朝大将军贺英利用时空金球终于重返明朝，与锦衣卫兄弟萨獒获悉了倭寇和朝廷奸党之间足以倾覆皇权的密谋，绵延400年的惊天危机一触即发。贺英也在红颜知己小美的帮助下开始了抗倭锄奸和保护族人的战斗。
3,26331700,大轰炸,萧锋,陈枰,动作,中国大陆,汉语普通话 / 英语,2018-10-26(美国),132分钟,刘烨_布鲁斯·威利斯_宋承宪_陈伟霆_范伟_马苏_车永莉_吴刚_冯远征_张钧甯_耿乐_谢霆锋_范冰冰_陈道明_艾德里安·布洛迪_雷佳_涩谷天马_张帆_任达华_吕良伟_胡兵_黄海冰_拉莫·威利斯_刘晓庆_曹可凡_黄圣依_钟镇涛_爱新觉罗·启星_汪东城,7726,2.7,0.007,0.01,0.065,0.176,0.742,1937年抗日战争爆发，继淞沪战争失利，南京吃紧。中华民族危急存亡之际，国民政府宣布迁都重庆，日军从 1938年2月18日至1944年12月19日，对重庆及周边地区实施无差别轰炸，长达六年零十个月。
4,27039069,宝贝儿,刘杰,刘杰,剧情,中国大陆,汉语普通话,2018-10-19(中国大陆)_2018-09-09(多伦多电影节),96分钟,刘杰_刘杰_杨幂_郭京飞_李鸿其,29414,5.2,0.044,0.13,0.38,0.28,0.165,残疾女孩江萌（杨幂 饰）与年迈的养母相依为命，为了不让养母流落养老院，江萌进城打工，没想到在医院碰到了与自己同病相怜的无肛女婴，引起了江萌的怜爱。江萌发现，无肛女婴的父亲（郭京飞 饰）匆匆带出医院，意图放弃治疗。就在无肛女婴生死存亡之际，江萌踏上了拯救生命的征程，到处打听孩子的下落，在这个寻找的过程中女护士的身世之谜也逐渐被揭开。
5,30352998,第12届中国金鹰电视艺术节颁奖典礼,何炅,迪丽热巴,真人秀,中国大陆,汉语普通话,2018-10-12(中国大陆),157分钟,何炅_迪丽热巴_李易峰_丁柳元_张译,38155,2.1,0.005,0.0,0.001,0.006,0.989,第12届中国金鹰电视艺术节将于2018年10月12日至14日在湖南长沙举行。
6,26661191,奇门遁甲,袁和平,徐克,动作,中国大陆 / 香港,汉语普通话,2017-12-14(中国大陆),113分钟,大鹏_倪妮_李治廷_周冬雨_伍佰_柳岩_许明虎_杨一威_谢苗_孙明明_黄晓明,91456,4.4,0.019,0.058,0.279,0.388,0.257,新上任的捕快刀宜长（李治廷 饰）奉旨判案，误打误撞救下了精通“奇门遁甲”之术的江湖组织“雾隐门”女弟子铁蜻蜓（倪妮 饰）。铁蜻蜓受门派老大（伍佰 饰）之托，调查神秘的天外来物踪迹，当众人惨败之际，二师兄诸葛青云（大鹏 饰）却带着神秘少女小圆圈（周冬雨 饰）归来，并称此人是新任掌门，铁蜻蜓与诸葛青云陷入芥蒂，另一边老大与其它几大门派长老也因为抢夺神器而开始厮杀。因为“天外来客”的降临，各大门派对雾隐门进行了追杀，因为小圆圈身世不明，门派内也争执不断，眼看大敌当前，正邪之战即将爆发，一场天地浩劫即将来临……
7,26654146,解忧杂货店,韩杰,宋啸,剧情,中国大陆,汉语普通话,2017-12-29(中国大陆),109分钟,王俊凯_迪丽热巴_董子健_李鸿其_董李无忧_成龙_秦昊_陈都灵_郝蕾_李梦_成泰燊_高华阳_潘斌龙_孟慧圆_孙小野,91375,5.0,0.04,0.106,0.354,0.324,0.177,改编自东野圭吾原著同名小说《解忧杂货店》，讲述了在一家僻静街道旁的杂货店，只要写下烦恼投进店前门卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。某个夜晚，三个身在迷途的年轻人阿杰、小波、彤彤无意闯入，没想到开启了时光隧道，从收到来自过去的第一封咨询信开始，在不断的回信和收信过程中，过去链接了未来，犹豫是否该坚持音乐梦想的秦朗、是否该和家人因逃债远走他乡的浩博、是否应该放弃舞女工作的晴美都从他们的回信建议做出了选择，找到了心灵的方向，不经意间也串联了所有人的人生。同时这三个年轻人也收到了对于自己困惑的解答。
8,27603669,为你写诗,吴克群,吴克群,喜剧,中国大陆,汉语普通话,2018-10-26(中国大陆),105分钟,吴克群_周依然_周键铭_苏士为_仇佩佩_刘晨霞_颜如晶_张本煜_潘粤明_林美秀,2313,3.9,0.028,0.06,0.18,0.29,0.442,你的一生中有过一个让自己心跳加速的人吗？
9,26691361,21克拉,何念,马天,喜剧,中国大陆,汉语普通话,2018-04-20(中国大陆),96分钟,郭京飞_迪丽热巴_大鹏_包贝尔_刘芮麟_王厂长_张钟仪_榕榕_张杨智子,37819,4.6,0.037,0.07,0.301,0.343,0.249,刘佳音（迪丽热巴 饰）因与富豪男友分手而破产 ，为了还债，变卖了自己所有的奢侈品。王继伟（郭京飞 饰）天生爱省，为了省钱无所不用其极。两人因为一场剧场意外相遇，在一系列机缘巧合合租一个屋檐之下，过起了荒诞爆笑的流浪生活，“王抠抠”和“刘买买”究竟如何在两种价值观之间化解 金钱与爱情的终极问题呢？
10,26644002,傲娇与偏见,李海蜀,黄彦威,喜剧,中国大陆,汉语普通话,2017-04-20(中国大陆),108分钟,迪丽热巴_张云龙_高伟光_金晨_马薇薇_范湉湉_披拉·尼迪裴善官_周海媚_樊野_李彧,40339,4.8,0.041,0.096,0.338,0.292,0.232,北漂网络写手唐楠楠（迪丽热巴 饰）脑洞大于常人，整日穿行在各种“白日梦”之中，梦想着有一天能成为网文大神，然而在她误打误撞毁掉了贱萌海龟男朱侯（张云龙 饰）为追求女神精心布置的告白仪式之后，这对冤家阴差阳错之下被迫带着各自的傲娇与偏见开始了同居生活。朱侯的高富帅好基友萧见君（高伟光 饰）因对唐楠楠一见钟情展开猛烈攻势，却不料遭到朱侯再三阻挠。当“傲娇”任性撞上“偏见”无理，一场鸡飞狗跳的脱线恋情正在袭来，一次跨越银河系的世纪大和解即将上演。
