id,brand,title,price,status,start_time,distance,volumn,gear,tag
1,江铃,经典全顺 2009款 2.8T 手动 柴油多功能型短轴中顶JX493ZLQ3A-车况好一手车,4.5,急,2011年,11万公里,2.8升,手动,会员2年
2,五菱,"宏光 2010款 1.2 手动 标准型-车况极品,无事故,无泡水",1.48,急,2011年,7万公里,1.2升,手动,会员1年
3,奔驰,S级 2010款 S 350 L 4MATIC,36.8,,2010年,11万公里,3.5升,自动,会员2年_可分期付
4,奥迪,"A3(进口)新能源 2017款 Sportback etron 舒适型,免税",2.98,,2017年,2.6万公里,1.4升,自动,高配_会员1年
5,荣威,e550 2016款 旗舰版-车况原版 可分期,7.6,,2015年,8万公里,1.8升,自动,低配_会员1年
6,宝马,7系 2016款 730Li 领先型-支持任何4s店维修厂检测,54.0,,2016年,6万公里,2.0升,自动,低配_会员1年_可分期付
7,吉普,广汽自由光 2017款 2.4L 领先版智能包-车况精品 可按揭 个人一手,16.28,,2017年,2.3万公里,2.4升,自动,会员1年_可分期付
8,别克,英朗XT 2010款 XT 1.6T 时尚运动版,2.85,,2010年,6.8万公里,1.6升,自动,会员1年_可分期付
9,金杯,海狮 2011款 2.0 手动 第五代新快运标准型4G20B-原版一手金杯,2.0,急,2012年,10万公里,2.0升,手动,会员1年
10,荣威,950 2015款 1.8T 精英版-荣威 950 2015款 1.8T 精英版,6.98,急,2015年,6.8万公里,1.8升,自动,低配_会员6年_可分期付
11,别克,君越 2011款 2.4L SIDI豪华版-首付低 利率低 提车快,8.78,,2011年,9.83万公里,2.4升,自动,会员4年
12,别克,君越 2012款 2.4L SIDI雅致版-上海老板一手车,6.58,,2011年,6万公里,2.4升,自动,会员1年
13,宝马,"X3 2012款 xDrive20i 豪华型-宝马 X3 2012款 xDrive20i 豪华型进店可看更多车源,支持按揭",18.46,,2012年,9.00万公里,2.0升,自动,低配_会员2年
14,丰田,RAV4 2011款 2.0L 自动豪华版-首付低 利率低 提车快,8.88,,2011年,7.64万公里,2.0升,自动,会员4年
