id,time,city,residence_MOM,residence_YOY,residence_FBI,commercial_residence_MOM,commercial_residence_YOY,commercial_residence_FBI,second_hand_MOM,second_hand_YOY,second_hand_FBI
1,2011年01月,泉州,100.2,99.8,99.7,100.2,99.8,99.7,100.1,99.9,100.0
2,2011年01月,厦门,101.5,105.0,103.8,101.6,105.0,103.8,100.6,100.8,100.6
3,2011年01月,福州,100.7,104.1,101.9,100.7,104.1,101.9,100.3,100.3,100.6
4,2011年01月,西安,101.1,105.6,102.2,101.1,105.6,102.2,100.3,103.6,103.0
5,2011年01月,长春,100.4,106.9,102.6,100.4,106.9,102.6,100.3,100.7,100.7
6,2011年01月,上海,100.9,101.5,100.8,101.1,101.5,100.8,100.5,101.7,100.6
7,2011年01月,长沙,101.8,109.9,105.2,101.8,109.9,105.2,100.2,102.2,101.1
8,2011年01月,南昌,101.8,108.8,105.8,101.9,108.8,105.8,100.8,103.2,102.5
9,2011年01月,吉林,101.7,109.2,105.7,101.7,109.2,105.7,100.0,105.3,102.1
10,2011年01月,包头,100.0,108.0,103.9,100.0,108.0,103.9,100.8,100.8,100.8
11,2011年01月,呼和浩特,100.1,106.8,102.8,100.1,106.8,102.8,100.3,103.2,101.9
12,2011年01月,岳阳,102.2,114.2,108.9,102.2,114.2,108.9,101.5,113.7,108.4
13,2011年01月,桂林,102.1,105.7,104.5,102.2,105.7,104.5,100.8,106.0,103.2
14,2011年01月,济宁,100.9,104.5,102.9,100.9,104.5,102.9,101.7,106.8,105.9
15,2011年01月,常德,101.7,106.4,104.2,101.7,106.4,104.2,101.4,109.1,104.4
16,2011年01月,大理,100.0,102.8,101.1,100.0,102.8,101.1,100.0,105.2,104.6
17,2011年01月,沈阳,100.4,108.8,104.2,100.4,108.8,104.2,100.2,107.7,103.1
18,2011年01月,平顶山,101.2,105.8,104.1,101.2,105.8,104.1,102.5,102.5,102.5
19,2011年01月,湛江,100.9,106.2,102.9,100.9,106.2,102.9,100.6,109.8,104.1
20,2011年01月,武汉,101.0,107.1,102.7,101.1,107.1,102.7,100.4,105.8,102.1
21,2011年01月,太原,100.2,102.1,100.8,100.2,102.1,100.8,100.2,106.0,102.2
22,2011年01月,温州,100.1,100.7,100.3,100.1,100.7,100.3,102.1,118.5,108.6
23,2011年01月,丹东,100.5,112.3,108.2,100.6,112.3,108.2,100.3,102.5,101.3
24,2011年01月,北京,100.8,106.8,102.4,101.0,106.8,102.4,100.3,102.6,101.2
25,2011年01月,杭州,101.6,100.8,100.1,101.7,100.8,100.1,100.3,104.4,101.5
26,2011年01月,烟台,100.7,105.4,103.2,100.7,105.4,103.2,100.2,104.1,102.1
27,2011年01月,石家庄,100.8,111.5,106.3,100.8,111.5,106.3,100.1,103.1,101.9
28,2011年01月,北海,100.4,105.5,101.1,100.4,105.5,101.1,100.0,100.9,99.9
29,2011年01月,惠州,100.9,104.9,102.8,100.9,104.9,102.8,101.4,102.7,103.4
30,2011年01月,无锡,100.8,103.4,101.9,100.9,103.4,101.9,100.9,103.1,101.9
31,2011年01月,九江,100.0,105.6,102.3,100.0,105.6,102.3,101.8,107.0,103.7
32,2011年01月,青岛,100.4,105.8,103.2,100.4,105.8,103.2,100.7,105.9,103.1
33,2011年01月,锦州,100.8,108.1,103.6,100.8,108.1,103.6,100.0,100.2,100.1
34,2011年01月,安庆,100.0,110.1,104.4,100.0,110.1,104.4,100.5,104.6,102.8
35,2011年01月,南京,100.7,103.9,100.8,100.9,103.9,100.8,100.7,99.6,100.3
36,2011年01月,南充,98.3,99.7,99.5,98.3,99.7,99.5,101.1,100.9,101.6
37,2011年01月,韶关,101.9,104.3,103.7,101.9,104.3,103.7,100.6,101.1,100.8
38,2011年01月,襄樊,100.6,109.0,104.4,100.6,109.0,104.4,100.3,106.3,104.0
39,2011年01月,郑州,101.2,109.3,104.5,101.3,109.3,104.5,100.2,107.1,104.0
40,2011年01月,宜昌,100.1,110.1,102.3,100.1,110.1,102.3,100.4,101.9,101.7
41,2011年01月,海口,100.5,121.6,102.5,100.6,121.6,102.5,100.0,99.4,97.7
42,2011年01月,哈尔滨,100.2,107.3,103.6,100.2,107.3,103.6,100.2,103.4,101.8
43,2011年01月,济南,100.2,105.6,102.6,100.2,105.6,102.6,100.5,102.3,102.0
44,2011年01月,天津,100.9,106.7,103.1,101.0,106.7,103.1,100.1,103.3,101.4
45,2011年01月,合肥,100.3,106.4,101.9,100.4,106.4,101.9,100.3,107.5,102.7
46,2011年01月,成都,101.4,104.9,103.0,101.4,104.9,103.0,102.2,102.1,101.7
47,2011年01月,乌鲁木齐,101.6,109.2,105.5,101.6,109.2,105.5,100.4,109.8,106.0
48,2011年01月,洛阳,102.1,105.8,104.2,102.1,105.8,104.2,100.5,108.6,103.5
49,2011年01月,大连,100.0,106.6,103.3,100.0,106.6,103.3,100.4,108.1,102.7
50,2011年01月,金华,100.0,107.6,102.4,100.0,107.6,102.4,100.6,103.3,99.9
51,2011年01月,昆明,101.0,105.6,104.6,101.2,105.6,104.6,100.5,103.7,102.6
52,2011年01月,西宁,100.5,109.4,105.1,100.5,109.4,105.1,101.9,107.4,104.8
53,2011年01月,重庆,99.9,107.9,103.4,99.9,107.9,103.4,99.9,101.4,100.6
54,2011年01月,唐山,100.0,103.8,101.1,100.0,103.8,101.1,102.1,103.0,102.3
55,2011年01月,秦皇岛,100.8,110.4,105.8,100.9,110.4,105.8,99.9,104.1,102.0
56,2011年01月,深圳,102.0,103.1,102.3,102.0,103.1,102.3,100.6,101.3,101.6
57,2011年01月,泸州,99.5,101.8,100.1,99.5,101.8,100.1,99.7,98.6,98.6
58,2011年01月,蚌埠,100.1,106.3,102.1,100.1,106.3,102.1,100.2,106.7,103.0
59,2011年01月,南宁,101.3,102.4,101.6,101.3,102.4,101.6,100.3,103.6,101.7
60,2011年01月,宁波,100.1,103.7,101.5,100.1,103.7,101.5,100.2,97.1,98.7
61,2011年01月,兰州,101.2,111.8,106.8,101.2,111.8,106.8,100.0,116.0,108.8
62,2011年01月,银川,100.8,102.9,101.4,100.9,102.9,101.4,100.0,103.3,100.6
63,2011年01月,三亚,100.4,119.1,100.8,100.4,119.1,100.8,100.7,114.8,102.4
64,2011年01月,遵义,101.0,104.6,103.4,101.2,104.6,103.4,101.1,111.7,106.8
65,2011年01月,扬州,101.0,104.9,102.8,101.1,104.9,102.8,100.5,105.2,102.8
66,2011年01月,贵阳,100.2,104.7,102.6,100.2,104.7,102.6,100.5,107.4,104.3
67,2011年01月,牡丹江,101.5,109.9,106.4,101.5,109.9,106.4,103.3,111.1,105.4
68,2011年01月,赣州,101.0,112.3,106.5,101.0,112.3,106.5,100.6,102.8,101.3
69,2011年01月,徐州,101.0,103.4,101.8,101.0,103.4,101.8,100.4,100.8,100.5
70,2011年01月,广州,101.7,100.1,102.7,101.7,100.1,102.7,101.2,102.9,102.3
71,2011年02月,泉州,100.5,100.0,100.2,100.5,100.0,100.2,100.0,100.0,100.0
72,2011年02月,厦门,101.4,106.4,105.3,101.4,106.4,105.3,100.0,100.9,100.6
73,2011年02月,福州,101.5,105.2,103.3,101.5,105.2,103.3,101.7,102.3,102.3
74,2011年02月,西安,100.4,105.8,102.6,100.4,105.8,102.6,100.0,105.0,103.0
75,2011年02月,长春,99.6,106.8,102.2,99.6,106.8,102.2,100.1,100.8,100.8
76,2011年02月,上海,100.9,102.3,101.8,101.1,102.3,101.8,100.4,102.0,101.0
