id,title,region,sub_region,area,location,room,hall,toilet,brand,time,layer,floor,price,tenancy,tag
1,整租·裕德路66弄1居室4000,徐汇,徐家汇,40.0,南,1,1,1,门店优选,2个月前发布,高楼层,7,4000.0,元/月,近地铁_随时看房
2,整租·凯欣*园诚意出租的房品质小区采光好楼层佳交通便利,长宁,中山公园,52.0,南西南,1,2,1,链家,27天前发布,高楼层,36,11000.0,元/月,近地铁_精装_随时看房
3,整租·华利公寓2居室8450,徐汇,田林,122.0,南,2,2,1,门店优选,1个月前发布,中楼层,29,8450.0,元/月,近地铁_精装_随时看房
4,整租·东方曼哈顿2居室12900,徐汇,徐家汇,96.0,南,2,2,1,门店优选,2个月前发布,中楼层,32,12900.0,元/月,近地铁_精装_随时看房
5,近地铁，南北两房+小区中间位置+中间楼层+看房方便,浦东,洋泾,50.0,南,2,1,1,链家,26天前发布,中楼层,6,4500.0,元/月,近地铁_随时看房
6,整租·长春新苑2居室8000,徐汇,田林,68.0,南,2,1,1,门店优选,1个月前发布,高楼层,6,8000.0,元/月,近地铁_精装_随时看房
7,整租·乐山八九村1居室4000,徐汇,徐家汇,34.0,南,1,1,1,门店优选,1个月前发布,中楼层,6,4000.0,元/月,近地铁_精装_随时看房
8,整租·精装，可做两室的一房，2楼采光好安静卫生，居家舒适,徐汇,徐家汇,40.0,南,1,1,1,链家,26天前发布,低楼层,6,4800.0,元/月,近地铁_精装_随时看房
9,整租·华利公寓2居室7600,徐汇,田林,88.0,南,2,1,1,门店优选,1个月前发布,低楼层,29,7600.0,元/月,近地铁_随时看房
10,整租·凯旋一村1居室4300,徐汇,徐家汇,37.0,南,1,0,1,门店优选,1个月前发布,中楼层,6,4300.0,元/月,近地铁_随时看房
11,整租·精装修干净舒适一房，无甲醛，适合小白领,静安,江宁路,35.0,南,1,1,1,链家,26天前发布,中楼层,6,5800.0,元/月,近地铁_随时看房
12,整租·凯歌公寓2居室8200,徐汇,徐家汇,53.0,南,2,1,1,门店优选,1个月前发布,低楼层,25,8200.0,元/月,近地铁_精装_随时看房
13,整租·尊园3居室13500,徐汇,徐家汇,139.0,南,3,2,2,门店优选,1个月前发布,中楼层,31,13500.0,元/月,近地铁_精装_双卫生间_随时看房
14,金色碧云2室2厅9900元,浦东,碧云,97.0,南,2,2,1,链家,26天前发布,低楼层,14,9900.0,元/月,近地铁_随时看房
15,整租·寿祥坊1居室3300,徐汇,康健,35.0,南,1,1,1,门店优选,1个月前发布,高楼层,6,3300.0,元/月,随时看房
16,整租·番南小区2居室5800,徐汇,徐家汇,54.0,南,2,1,1,门店优选,1个月前发布,低楼层,6,5800.0,元/月,近地铁_随时看房
17,整租·品质小区+精装*配+交通便利+地段繁华+拎包入住无遮挡,静安,南京西路,52.0,东南,1,1,1,链家,26天前发布,低楼层,27,9200.0,元/月,近地铁_精装_随时看房
18,整租·健安坊4居室6000跃层,徐汇,康健,83.0,南,4,1,2,门店优选,1个月前发布,中楼层,5,6000.0,元/月,近地铁_双卫生间_随时看房
19,近8号线杨思站，一室一厅精装修，家具家电*配户型好,浦东,三林,40.0,南,1,1,1,链家,25天前发布,高楼层,6,4200.0,元/月,近地铁_随时看房
20,整租·钦州路111弄2居室4800,徐汇,康健,55.0,南北,2,0,1,门店优选,1个月前发布,中楼层,7,4800.0,元/月,近地铁_随时看房
21,整租·南丹小区1居室4400,徐汇,徐家汇,38.0,南,1,1,1,门店优选,1个月前发布,中楼层,7,4400.0,元/月,近地铁_随时看房
22,婚房装修，品牌家具，塘桥四号线地铁口精装两房，,浦东,塘桥,53.0,南北,2,1,1,链家,25天前发布,高楼层,6,6200.0,元/月,近地铁_随时看房
23,整租·漕溪大楼2居室6050,徐汇,徐家汇,55.0,南,2,1,1,门店优选,1个月前发布,低楼层,14,6050.0,元/月,近地铁_精装_随时看房
24,整租·薛家宅小区2居室5400,徐汇,康健,76.0,南,2,1,1,门店优选,1个月前发布,高楼层,7,5400.0,元/月,随时看房
25,世纪大道地铁竹园新村精装两房拎包入住干净整洁,浦东,源深,53.0,南,2,1,1,链家,25天前发布,高楼层,6,4800.0,元/月,近地铁_随时看房
26,整租·凯旋一村1居室4800,徐汇,徐家汇,41.0,南,1,1,1,门店优选,1个月前发布,中楼层,6,4800.0,元/月,近地铁_精装_随时看房
27,整租·南丹小区1居室4900,徐汇,徐家汇,39.0,南,1,1,1,门店优选,1个月前发布,高楼层,7,4900.0,元/月,近地铁_精装_随时看房
28,龙潭小区，近7号地铁，楼层佳，看房方便，拎包入住,闸北,阳城,50.0,南,1,1,1,链家,25天前发布,低楼层,6,4000.0,元/月,近地铁_随时看房
29,整租·乐山一村2居室6500,徐汇,徐家汇,69.0,西,2,1,1,门店优选,1个月前发布,中楼层,24,6500.0,元/月,近地铁_随时看房
30,整租·广元西路420弄1居室4700,徐汇,徐家汇,35.0,南,1,1,1,门店优选,1个月前发布,中楼层,6,4700.0,元/月,近地铁_随时看房
31,整租·【虹桥乐庭】精装三房，户型方正，视野开阔。,徐汇,徐家汇,147.0,南,3,1,2,链家,19天前发布,高楼层,28,15500.0,元/月,近地铁_双卫生间
32,华松小区3室0厅7000元,长宁,北新泾,76.0,南,3,0,1,链家,20天前发布,中楼层,6,7000.0,元/月,近地铁
33,东临地铁站，西临黄浦江，南靠龙阳路，北枕陆家嘴,浦东,塘桥,97.0,南,2,2,1,链家,21天前发布,中楼层,13,8500.0,元/月,近地铁
34,苏河融景2室2厅23000元,闸北,不夜城,100.0,东南南,2,2,2,链家,24天前发布,中楼层,11,23000.0,元/月,近地铁
35,星颂家园1室1厅3500元,浦东,曹路,54.0,南,1,1,1,链家,25天前发布,低楼层,24,3500.0,元/月,近地铁
36,保利西子湾3室2厅7000元,松江,松江大学城,118.0,南,3,2,1,链家,26天前发布,高楼层,14,7000.0,元/月,近地铁
37,整租·宝钢五村两室一厅电梯房温馨舒适通风好,宝山,淞宝,51.0,南,2,1,1,链家,27天前发布,中楼层,15,3600.0,元/月,近地铁_随时看房
38,整租·欧式风格，精装1房高景，交通便利，上次一天就租掉了,黄浦,蓬莱公园,49.0,南,1,1,1,链家,15天前发布,高楼层,34,9200.0,元/月,近地铁_精装_随时看房
39,整租·陕西南路上，02年*明高区通透户型，视野开阔采光好,黄浦,打浦桥,120.0,南,2,2,2,链家,24天前发布,高楼层,28,15500.0,元/月,近地铁_精装_双卫生间_随时看房
40,近地铁线+高楼层+业主自住精装+朝南采光好+诚意出租,浦东,源深,35.0,南,1,1,1,链家,1个月前发布,高楼层,6,5300.0,元/月,近地铁_随时看房
41,创智坊(公寓)1室1厅8500元,杨浦,五角场,62.0,南,1,1,1,链家,1天前发布,高楼层,9,8500.0,元/月,近地铁_新上_随时看房
42,整租·精装一室一厅电梯房地铁口看房随时,普陀,长寿路,45.0,东南,1,1,1,链家,3天前发布,中楼层,23,5800.0,元/月,近地铁_精装_新上_随时看房
43,绿色丽园1室2厅6000元,闸北,大宁,73.0,南,1,2,1,链家,5天前发布,高楼层,6,6000.0,元/月,近地铁_新上_随时看房
44,离地铁11号线桃浦新村站400米装修精致家具家电齐备,普陀,桃浦,35.0,南,1,1,1,链家,6天前发布,中楼层,6,3500.0,元/月,近地铁_新上_随时看房
45,瑞冬小区1室1厅4600元,长宁,北新泾,41.0,南,1,1,1,链家,9天前发布,高楼层,6,4600.0,元/月,近地铁_随时看房
46,整租·达安花园精装*配大两房拎包入住随时看有钥匙,静安,曹家渡,94.0,南,2,1,1,链家,12天前发布,低楼层,31,11000.0,元/月,近地铁_精装_随时看房
47,手次出租，精装3居室，南北通透双阳台，有钥匙看房,浦东,碧云,135.0,南,3,2,2,链家,14天前发布,低楼层,17,16000.0,元/月,近地铁_随时看房
48,整租·申峰大厦，高层带阳台，精装修一室户，拎包入住,徐汇,徐家汇,65.0,南,1,2,1,链家,17天前发布,高楼层,26,7300.0,元/月,近地铁_精装_随时看房
49,整租·婚房自住装修品牌家具家电精装*配业主人好相处,长宁,新华路,48.0,南,2,1,1,链家,18天前发布,低楼层,6,7500.0,元/月,近地铁_精装_随时看房
50,整租·颛兴路180弄小区，简单装修，干净清爽，可随时入住。,闵行,颛桥,62.0,南北,2,1,1,链家,19天前发布,高楼层,6,3500.0,元/月,近地铁_随时看房
51,清池苑2室1厅5800元,长宁,北新泾,77.0,南,2,1,1,链家,23天前发布,高楼层,6,5800.0,元/月,近地铁_随时看房
52,大面积，实惠，近地铁，楼层好。,徐汇,田林,41.0,西南,1,1,1,链家,25天前发布,中楼层,6,4000.0,元/月,近地铁_随时看房
53,整租·金虹桥井亭苑2室1厅6500元,闵行,金汇,85.0,南,2,1,1,链家,3天前发布,低楼层,6,6500.0,元/月,近地铁_精装_新上
54,居家装修大两房户型好光照充足干净舒适随时看房,浦东,金杨,71.0,南,2,1,1,链家,4天前发布,高楼层,6,4800.0,元/月,近地铁_新上
55,整租·婚房装修高区电梯房配套齐*近延安西路地铁,长宁,中山公园,107.0,南,3,2,2,链家,5天前发布,中楼层,18,13000.0,元/月,近地铁_精装_双卫生间_新上
56,康健路43弄1室1厅4400元,徐汇,康健,43.0,南,1,1,1,链家,5天前发布,中楼层,6,4400.0,元/月,近地铁_新上
57,内环内，电梯小区，精装两房，近地铁2号线，随时可看,浦东,花木,94.0,南,2,1,1,链家,6天前发布,低楼层,29,7000.0,元/月,近地铁_新上
58,宝林一村1室1厅2900元,宝山,淞宝,41.0,南,1,1,1,链家,6天前发布,中楼层,6,2900.0,元/月,近地铁_新上
59,茂名公寓1室1厅7000元,静安,南京西路,38.0,南,1,1,1,链家,7天前发布,中楼层,8,7000.0,元/月,近地铁_随时看房
60,古北国际花园1室2厅15000元,长宁,古北,76.0,南,1,2,1,链家,7天前发布,高楼层,31,15000.0,元/月,近地铁
61,宾阳路21号2室1厅6300元,徐汇,龙华,59.0,南,2,1,1,链家,8天前发布,高楼层,7,6300.0,元/月,近地铁_随时看房
62,精装修房间保养很好婚房装修看房随时,闵行,莘庄,132.0,南北,2,1,2,链家,9天前发布,高楼层,16,7000.0,元/月,近地铁
63,张江汤臣豪园(三期)2室2厅10000元,浦东,张江,88.0,南,2,2,2,链家,10天前发布,高楼层,11,10000.0,元/月,近地铁
64,整租·徐汇滨江板块新出大三房，江景房，看房方便，近地铁！,徐汇,徐汇滨江,173.0,南,3,2,2,链家,10天前发布,低楼层,37,23800.0,元/月,近地铁_精装_双卫生间
65,整租·苏河湾酒店公寓二期通煤气有地暖、中、央空调，随时看,闸北,西藏北路,207.0,南北,4,1,2,链家,11天前发布,低楼层,26,28000.0,元/月,近地铁_精装_双卫生间_随时看房
66,整租·十里都华精装三房，户型正气，采光很好，人车分流,普陀,长寿路,123.0,南,3,2,1,链家,11天前发布,中楼层,33,15000.0,元/月,近地铁_精装
67,整租·新福康里宜家两房南北通透自带舒适阁楼有卫生间,静安,南京西路,75.0,南,2,1,1,链家,12天前发布,高楼层,7,8500.0,元/月,近地铁_精装_随时看房
68,整租·黄浦新苑，高区*朝南，精装*配，拎包入住，正看花园,黄浦,蓬莱公园,103.0,南,2,2,1,链家,12天前发布,高楼层,34,15800.0,元/月,近地铁_随时看房
69,整租·南北两房，采光好，链家真实房源值得信赖,徐汇,斜土路,48.0,南,2,0,1,链家,19天前发布,高楼层,5,5300.0,元/月,近地铁
70,东体小区2室1厅5500元,虹口,曲阳,55.0,南,2,1,1,链家,20天前发布,低楼层,6,5500.0,元/月,近地铁
71,整租·金榜人家精装3房2厅，近5号东川站，家电齐，拎包住。,闵行,老闵行,123.0,南北,3,2,2,链家,21天前发布,高楼层,6,5500.0,元/月,近地铁_精装_双卫生间
72,整租·装修风格精装，家电齐*，拎包入住，采光好,徐汇,衡山路,44.0,东,1,0,1,链家,24天前发布,低楼层,24,8500.0,元/月,近地铁_精装
73,采光好户型正通风佳碧云优质一房,浦东,碧云,67.0,南,1,2,1,链家,25天前发布,中楼层,19,5000.0,元/月,近地铁_随时看房
74,整租·凯欣*园精装一房品质小区采光好楼层佳交通便利,长宁,中山公园,41.0,东南,1,1,1,链家,26天前发布,低楼层,36,11000.0,元/月,近地铁_精装_随时看房
75,陆家嘴源深地区精装三房，近地铁6号线，配套齐*,浦东,源深,156.0,南,3,2,2,链家,27天前发布,中楼层,11,14000.0,元/月,近地铁
76,由由七村近地铁楼层佳交通便利配套齐*拎包入住,浦东,北蔡,50.0,南,1,1,1,链家,15天前发布,中楼层,6,3500.0,元/月,近地铁_随时看房
77,整租·中福浦江汇精装两房，小区是2014年新小区，拎包入住,黄浦,蓬莱公园,71.0,南,2,1,1,链家,22天前发布,中楼层,33,9500.0,元/月,近地铁_精装_随时看房
78,东安四村1室1厅4500元,徐汇,徐家汇,40.0,南,1,1,1,链家,1个月前发布,高楼层,6,4500.0,元/月,近地铁_随时看房
79,精装地铁两房，两房朝南，干净整洁，拎包入住,闵行,金虹桥,80.0,南,2,1,1,链家,1天前发布,高楼层,6,6800.0,元/月,近地铁_新上_随时看房
80,整租·03年小区地铁1911号线+精装朝南一房+近地铁看房方便,徐汇,徐家汇,60.0,南,1,1,1,链家,3天前发布,高楼层,19,7500.0,元/月,近地铁_精装_新上_随时看房
81,临沂六村地铁房，精装雅观价格美丽，拎包入住自然舒心,浦东,南码头,36.0,南,1,1,1,链家,5天前发布,高楼层,6,4000.0,元/月,近地铁_新上_随时看房
82,整租·7.13号线长寿路站精装居家温馨大两房,普陀,长寿路,114.0,南,2,2,1,链家,6天前发布,中楼层,24,10800.0,元/月,近地铁_精装_新上_随时看房
