id,name,level,hot,num,price,area
1,故宫,5A景区,1.0,10343,20.0,[北京·北京·东城区]
2,圆明园,4A景区,0.76,4849,25.0,[北京·北京·海淀区]
3,天安门广场,,1.0,3188,20.0,[北京·北京·东城区]
4,八达岭长城,5A景区,0.82,1256,160.0,[北京·北京·延庆县]
5,颐和园,5A景区,0.82,1212,41.0,[北京·北京·海淀区]
6,恭王府,5A景区,0.74,892,60.0,[北京·北京·西城区]
7,故宫礼物,,0.0,1710,9.0,[北京·北京·故宫]
8,慕田峪长城,5A景区,0.7,1466,20.0,[北京·北京·怀柔区]
9,八达岭长城缆车,,0.0,1448,160.0,[北京·北京·八达岭长城]
10,水立方,,0.0,2000,14.0,[北京·北京·奥林匹克公园]
11,什刹海,4A景区,0.78,1408,9.9,[北京·北京·西城区]
12,定陵,,0.72,450,46.7,[北京·北京·明十三陵]
13,慕田峪长城箱式索道,,0.0,594,35.0,[北京·北京·慕田峪长城]
14,北京杜莎夫人蜡像馆,,0.0,374,85.0,[北京·北京·前门大街]
15,北京动物园,4A景区,0.72,706,160.0,[北京·北京·西城区]
16,创意桥园,3A景区,0.0,0,0.0,[天津·天津·河东区]
17,宏佲健身俱乐部,,0.0,0,0.0,[天津·天津·和平区]
18,盘山高尔夫俱乐部,,0.0,0,0.0,[天津·天津·蓟县]
19,杨柳青庄园,4A景区,0.0,50,0.1,[天津·天津·西青区]
20,帝景温泉滑草场,,0.0,49,38.0,[天津·天津·宝坻区]
21,蓟州溶洞,3A景区,0.0,18,72.0,[天津·天津·蓟县]
22,天山海世界米立方,4A景区,0.0,10,30.0,[天津·天津·津南区]
23,天津京津新城凯悦酒店温泉,,0.0,77,105.0,[天津·天津·宝坻区]
24,精武门·中华武林园,4A景区,0.0,46,0.5,[天津·天津·西青区]
25,大悲禅院,4A景区,0.78,97,0.7,[天津·天津·河北区]
26,五大道,4A景区,0.0,18,6.0,[天津·天津·和平区]
27,静园-末代皇帝溥仪旧居,3A景区,0.0,114,17.3,[天津·天津·和平区]
28,权金城休闲家园（农大店）,,0.0,83,39.9,[北京·北京·海淀区]
29,孤山寨,,0.0,20,39.0,[北京·北京·十渡风景区]
30,水立方游泳馆,,0.0,6,48.5,[北京·北京·水立方]
31,北宫国家森林公园,4A景区,0.7,2781,10.0,[北京·北京·丰台区]
32,远去的恐龙,,0.0,76,150.0,[北京·北京·朝阳区]
33,北京自然博物馆,,0.7,4,60.0,[北京·北京·东城区]
