id,name,level,hot,num,price,area,province,city,longitude,latitude
1,故宫,5A景区,1.0,10343,20.0,北京·北京·东城区,北京,北京,116.397003,39.922501
2,圆明园,4A景区,0.76,4849,25.0,北京·北京·海淀区,北京,北京,116.280045,40.028545
3,天安门广场,,1.0,3188,20.0,北京·北京·东城区,北京,北京,116.397697,39.906036
4,八达岭长城,5A景区,0.82,1256,160.0,北京·北京·延庆县,北京,北京,115.972588,40.364788
5,颐和园,5A景区,0.82,1212,41.0,北京·北京·海淀区,北京,北京,116.273949,39.999092
6,恭王府,5A景区,0.74,892,60.0,北京·北京·西城区,北京,北京,116.386375,39.936726
7,故宫礼物,,0.0,1710,9.0,北京·北京·故宫,北京,北京,116.407526,39.904030
8,慕田峪长城,5A景区,0.7,1466,20.0,北京·北京·怀柔区,北京,北京,116.557129,40.426243
9,八达岭长城缆车,,0.0,1448,160.0,北京·北京·八达岭长城,北京,北京,116.407526,39.904030
10,水立方,,0.0,2000,14.0,北京·北京·奥林匹克公园,北京,北京,114.054878,22.538679
11,什刹海,4A景区,0.78,1408,9.9,北京·北京·西城区,北京,北京,116.392555,39.933781
12,定陵,,0.72,450,46.7,北京·北京·明十三陵,北京,北京,116.407526,39.904030
13,慕田峪长城箱式索道,,0.0,594,35.0,北京·北京·慕田峪长城,北京,北京,116.557129,40.426243
14,北京杜莎夫人蜡像馆,,0.0,374,85.0,北京·北京·前门大街,北京,北京,116.398222,39.897304
15,北京动物园,4A景区,0.72,706,160.0,北京·北京·西城区,北京,北京,116.339892,39.941344
16,创意桥园,3A景区,0.0,0,0.0,天津·天津·河东区,天津,天津,119.992996,31.812019
17,宏佲健身俱乐部,,0.0,0,0.0,天津·天津·和平区,天津,天津,117.200983,39.084158
18,盘山高尔夫俱乐部,,0.0,0,0.0,天津·天津·蓟县,天津,天津,117.200983,39.084158
19,杨柳青庄园,4A景区,0.0,50,0.1,天津·天津·西青区,天津,天津,116.978241,39.155994
20,帝景温泉滑草场,,0.0,49,38.0,天津·天津·宝坻区,天津,天津,117.200983,39.084158
21,蓟州溶洞,3A景区,0.0,18,72.0,天津·天津·蓟县,天津,天津,117.379471,40.131111
22,天山海世界米立方,4A景区,0.0,10,30.0,天津·天津·津南区,天津,天津,117.200983,39.084158
23,天津京津新城凯悦酒店温泉,,0.0,77,105.0,天津·天津·宝坻区,天津,天津,117.366933,39.533545
24,精武门·中华武林园,4A景区,0.0,46,0.5,天津·天津·西青区,天津,天津,117.200983,39.084158
25,大悲禅院,4A景区,0.78,97,0.7,天津·天津·河北区,天津,天津,117.189590,39.155342
26,五大道,4A景区,0.0,18,6.0,天津·天津·和平区,天津,天津,118.362144,35.041183
27,静园-末代皇帝溥仪旧居,3A景区,0.0,114,17.3,天津·天津·和平区,天津,天津,117.189178,39.123344
28,权金城休闲家园（农大店）,,0.0,83,39.9,北京·北京·海淀区,北京,北京,116.668999,39.908298
29,孤山寨,,0.0,20,39.0,北京·北京·十渡风景区,北京,北京,114.152290,31.829037
30,水立方游泳馆,,0.0,6,48.5,北京·北京·水立方,北京,北京,117.962494,24.611210
31,北宫国家森林公园,4A景区,0.7,2781,10.0,北京·北京·丰台区,北京,北京,116.120132,39.859024
32,远去的恐龙,,0.0,76,150.0,北京·北京·朝阳区,北京,北京,116.407526,39.904030
33,北京自然博物馆,,0.7,4,60.0,北京·北京·东城区,北京,北京,116.399739,39.883094
34,十渡誓言玻璃栈道,,0.0,64,86.0,北京·北京·腾龙仙苑旅游度假风景区,北京,北京,116.407526,39.904030
35,平谷桃花海,,0.0,818,24.0,北京·北京·平谷区,北京,北京,117.170749,40.254777
36,海贝儿大型儿童主题乐园,,0.0,50,79.0,北京·北京·温都水城,北京,北京,103.148674,26.995625
37,中影基地旅游城,,0.0,72,60.0,北京·北京·怀柔区,北京,北京,116.691628,40.282337
38,居庸关长城,4A景区,0.72,116,35.8,北京·北京·昌平区,北京,北京,116.077316,40.285507
39,天坛公园,5A景区,0.8,198,3.9,北京·北京·东城区,北京,北京,113.226608,23.512449
40,雪玉洞,4A景区,0.72,50,99.0,重庆·重庆·丰都县,重庆,重庆,107.796715,29.782497
41,熊猫宝贝亲子庄园,,0.0,95,88.0,重庆·重庆·巴南区,重庆,重庆,108.105225,26.229864
42,边城洪安景区,3A景区,0.0,64,38.0,重庆·重庆·秀山县,重庆,重庆,119.880707,32.709824
43,统景温泉,4A景区,0.7,72,88.0,重庆·重庆·渝北区,重庆,重庆,106.551556,29.563009
44,双桂堂,3A景区,0.7,51,0.1,重庆·重庆·梁平县,重庆,重庆,107.706154,30.605909
45,重庆长寿湖,,0.7,50,16.0,重庆·重庆·长寿区,重庆,重庆,107.241387,29.913753
46,蚩尤九黎城,4A景区,0.0,128,72.0,重庆·重庆·彭水县,重庆,重庆,106.551556,29.563009
47,重庆白鹤梁水下博物馆,4A景区,0.0,56,25.0,重庆·重庆·涪陵区,重庆,重庆,106.551556,29.563009
48,松江乡村休闲旅游区,4A景区,0.0,0,0.0,天津·天津·津南区,天津,天津,117.200983,39.084158
49,天津鼓楼天街茶馆相声帮,,0.0,0,0.0,天津·天津·鼓楼茶馆,天津,天津,117.179050,39.141410
50,京津高尔夫俱乐部,,0.7,0,0.0,天津·天津·津南区,天津,天津,117.200983,39.084158
51,水高庄园,4A景区,0.0,32,45.0,天津·天津·西青区,天津,天津,116.937866,39.085918
52,天津蓟州车神架风景区,,0.0,39,65.0,天津·天津·蓟县,天津,天津,117.200983,39.084158
53,天津玛雅海滩水公园,,0.0,2,59.0,天津·天津·东丽区,天津,天津,117.200983,39.084158
54,西双塘兴龙温泉生态城,,0.0,70,16.0,天津·天津·静海县,天津,天津,117.200983,39.084158
55,洋货市场,,0.8,92,48.0,天津·天津·滨海新区,天津,天津,117.655342,39.029629
56,希乐城少儿职业探索乐园,,0.0,2,188.0,天津·天津·西青区,天津,天津,117.200983,39.084158
57,石家大院,4A景区,0.74,6,0.1,天津·天津·西青区,天津,天津,117.010780,39.134617
58,大沽口炮台遗址,,0.74,70,21.01,天津·天津·滨海新区,天津,天津,121.764458,39.478245
59,塘沽外滩游船,,0.0,108,90.0,天津·天津·滨海新区,天津,天津,117.660965,39.029556
60,云岫谷游猎,,0.7,79,0.1,北京·北京·密云县,北京,北京,116.407526,39.904030
