id,name,level,hot,area,num,price,info,address
1,八达岭长城,5A景区,0.82,[北京·北京·延庆县],15230,0.4,不到长城非好汉,地址：北京市延庆县军都山关沟古道北口216省道附近
2,颐和园,5A景区,0.82,[北京·北京·海淀区],6328,30.0,保存完整的一座皇家行宫御苑,地址：北京市海淀区新建宫门路19号
3,故宫,5A景区,1.0,[北京·北京·东城区],31524,60.0,北京故宫，旧称紫禁城，是中国明、清两代24位皇帝的皇宫，现在指位于北京的故宫博物院，位于北京市中心，是无与伦比的古代建筑,地址：北京市东城区景山前街4号
4,恭王府,5A景区,0.74,[北京·北京·西城区],2966,28.5,一起去看看和珅家,地址：北京市西城区什刹海前海西街17号
5,圆明园,4A景区,0.76,[北京·北京·海淀区],4614,25.0,追忆昔日万园之园,地址：北京市海淀区清华西路28号
6,天坛公园,5A景区,0.8,[北京·北京·东城区],2294,40.0,探寻古代皇帝祭天仪式的奥秘,地址：北京市东城区天坛内东里7号
7,水立方,,0.0,[北京·北京·奥林匹克公园],2673,54.0,中国的荣耀，阳光下的晶莹水滴,地址：北京市朝阳区天辰东路11号奥林匹克公园内
8,八达岭长城缆车,,0.0,[北京·北京·八达岭长城],3137,40.0,巍峨雄伟尽收眼底,地址：北京市延庆县军都山关沟古道北口八达岭长城景区内
9,天安门广场,,1.0,[北京·北京·东城区],3341,35.0,我爱北京天安门，天安门上太阳升,地址：北京市东城区天安门
10,鸟巢,5A景区,0.8400000000000001,[北京·北京·奥林匹克公园],2754,50.0,北京的地标，中华民族崛起的象征,地址：北京市朝阳区国家体育场南路1号奥林匹克公园内
11,慕田峪长城,5A景区,0.7,[北京·北京·怀柔区],3125,40.0,电影《非诚勿扰》取景地,地址：北京市怀柔区慕田峪村
12,中国科学技术馆,4A景区,0.0,[北京·北京·朝阳区],908,106.0,通过亲身参与，加深对科学的理解和感悟,地址：北京市朝阳区北辰东路5号
13,德云社相声大会广德楼店,,0.0,[北京·北京·西城区],766,114.0,赏德云社爆笑演出，High翻全场乐不停,地址：北京市西城区前门大栅栏大街39号
14,什刹海,4A景区,0.78,[北京·北京·西城区],4134,10.0,老北京的温柔乡，北京签到地,地址：北京市西城区羊房胡同
15,明十三陵,5A景区,0.72,[北京·北京·昌平区],562,105.0,气势磅礴的陵寝建筑群,地址：北京市昌平区十三陵特区
16,2019年重庆亲子年票夏季版,,0.0,[重庆·重庆·渝北区],36,158.0,2018重庆亲子游览年票夏季版,地址：重庆渝北区
17,乐和乐都野生动物世界,4A景区,0.0,[重庆·重庆·乐和乐都主题公园],166,200.0,突出“回归自然”的主题,地址：重庆永川区近郊卫星湖街道凤龙路999号野生动物园
18,佛影峡生态旅游区,3A景区,0.0,[重庆·重庆·巴南区],294,168.0,勇士漂流、溯溪探险让你感受中国都市漂流,地址：重庆市巴南区圣灯山镇佛影峡景区
19,重庆迎龙峡影视拍摄基地,,0.0,[重庆·重庆·巴南区],18,10.0,更好的体验影视文化的魅力。,地址：重庆巴南区樵坪山迎龙峡迎龙湾118号迎龙峡景区内
20,重庆柏联温泉,,0.0,[重庆·重庆·北碚区],86,258.0,露天园林温泉汤池与书香诗意的完美结合,地址：重庆市北碚区北温泉公园
21,丰都鬼城,4A景区,0.74,[重庆·重庆·丰都县],34,218.0,鬼城寻鬼，阴朝地府走一遭,地址：重庆市丰都县名山镇名山路152号
22,重庆欢乐谷,,0.0,[重庆·重庆·渝北区],1526,110.0,不可错过的欢乐世界,地址：重庆市渝北区金渝大道29号重庆欢乐谷
23,武隆仙女山国家森林公园,5A景区,0.82,[重庆·重庆·武隆天坑地缝国家地质公园],464,48.0,又一个仙女下凡调戏牧童的故事,地址：重庆市武隆县境乌江北岸双河乡
24,重庆长江索道,4A景区,0.0,[重庆·重庆·渝中区],3089,28.0,万里长江的一条空中走廊，俯瞰滚滚长江,地址：重庆市渝中区新华路151号
25,甜品的异想世界,,0.0,[上海·上海·黄浦区],8,38.0,今夏魔都超火爆、超好拍、超美味的展！,地址：方里市集 （风云再起对面） 上海市黄浦区人民大道221号B1迪美购物中心
26,福州路文化街,,0.7,[上海·上海·黄浦区],68,898.0,福州路东起中山东一路，西迄西藏中路，长1453米，该路于1864年筑完全程，是上海开埠通向黄浦江的四条土路之一，人们习惯,地址：上海-黄浦区
27,童天和药号,,0.0,[上海·上海·朱家角古镇],88,25.0,重济世，不重利的传奇制药世家,地址：上海市青浦区朱家角大新街60号
28,外白渡桥,,0.0,[上海·上海·黄浦区],79,238.0,上海影视城里仿的外白渡桥,地址：上海市黄浦区中山东一路
29,上海中心敦煌展,,0.0,[上海·上海·上海中心大厦],12,55.0,“丝路敦煌 幸福生存”展览,地址：上海市银城中路501号上海中心大厦
